[ 2021-12-19 17:41:35,489 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741950 found"
[ 2021-12-19 17:41:35,606 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741845 found"
[ 2021-12-19 17:41:36,156 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073742012 found"
[ 2021-12-19 17:41:36,473 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741874 found"
[ 2021-12-19 17:41:36,910 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741825 found"
[ 2021-12-19 17:41:37,239 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073742012 found"
[ 2021-12-19 17:41:37,355 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741971 found"
[ 2021-12-19 17:41:37,790 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741885 found"
[ 2021-12-19 17:41:38,789 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741949 found"
[ 2021-12-19 17:41:39,005 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741836 found"
[ 2021-12-19 17:41:42,090 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741949 found"
